q1,q2,q3,q4,q5,q6,q7,q8,label
0,1,0,0,0,1,0,0,0
1,1,0,0,1,1,1,0,4
1,1,0,1,0,1,0,1,5
1,1,0,1,0,1,0,1,5
0,1,1,1,1,1,1,1,3
0,1,1,0,1,1,1,0,4
0,0,0,1,0,1,0,1,1
0,1,1,1,0,0,0,0,3
0,0,0,1,1,1,0,0,0
0,0,0,0,1,0,1,0,4
1,1,0,1,1,0,1,0,3
0,1,1,0,0,1,0,0,2
0,1,0,1,1,1,1,0,3
1,0,1,1,1,1,1,0,4
1,1,0,0,1,1,0,0,5
1,0,1,0,0,1,1,0,4
1,0,1,0,1,1,1,0,4
1,1,1,0,1,1,0,0,2
0,1,0,1,0,1,1,1,3
0,1,1,1,1,1,0,0,3
0,1,0,1,0,1,0,1,5
0,1,0,1,0,0,0,1,5
1,1,1,1,1,0,1,0,3
1,0,0,1,0,1,0,1,1
1,0,0,0,1,1,1,1,2
1,0,1,1,1,0,1,0,4
0,1,1,1,0,0,0,1,3
0,1,0,1,0,0,0,1,5
1,0,0,0,1,0,0,1,1
0,0,1,1,0,0,0,1,5
0,1,1,0,0,1,1,1,2
0,0,1,1,1,1,0,1,5
0,0,0,0,0,1,0,0,0
1,1,0,1,0,0,0,1,5
0,0,1,1,1,0,0,1,5
0,1,0,0,1,1,1,0,4
0,1,0,0,0,1,0,1,1
0,1,0,1,0,0,0,0,3
0,1,0,1,1,0,1,0,3
0,1,1,0,0,1,1,0,4
0,0,0,1,1,0,0,1,5
1,0,1,0,0,0,1,0,4
1,1,1,1,1,1,1,1,3
1,1,0,0,1,0,0,1,5
1,0,0,0,0,0,1,0,4
1,0,1,0,0,0,0,1,5
1,1,1,0,0,1,1,0,4
1,0,0,0,1,1,1,1,5
1,0,1,0,1,1,0,1,5
0,0,1,0,0,0,0,0,2
0,1,1,0,1,0,0,0,2
1,1,0,0,0,1,0,0,5
0,1,0,0,0,1,1,1,1
1,0,0,1,0,1,1,1,1
1,0,0,0,1,0,1,1,1
0,1,0,1,0,0,1,1,3
0,1,1,1,0,1,0,0,3
1,0,1,0,1,1,0,1,5
1,0,1,1,1,1,0,1,2
0,0,1,0,0,0,0,1,2
0,0,0,0,1,1,0,0,0
1,1,1,0,1,0,0,0,2
1,0,0,1,0,1,1,1,5
0,0,0,0,0,1,1,0,0
0,0,1,1,0,0,1,0,4
1,0,0,1,0,1,1,0,4
1,0,0,0,0,1,1,1,5
1,1,0,1,1,1,0,0,3
