q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,label
0.25,0.0,1.0,1.0,0.0,0.5,0.0,1.0,0.25,0.5,0.25,0.5,1.0,0.25,2
0.0,0.25,0.75,1.0,0.75,0.5,0.75,0.25,0.75,0.75,0.0,1.0,0.75,0.5,9
1.0,0.75,0.5,0.75,0.75,0.0,0.0,0.0,0.75,0.75,0.0,0.5,1.0,0.0,3
0.0,0.25,0.0,0.0,0.75,0.5,1.0,0.75,0.5,1.0,1.0,0.75,1.0,0.25,5
0.0,1.0,0.0,0.25,0.25,1.0,0.25,1.0,0.0,0.75,0.5,0.25,0.5,0.0,8
0.0,0.75,0.5,0.75,1.0,0.0,0.25,1.0,0.25,0.75,0.25,0.0,0.25,0.25,6
0.5,1.0,0.0,0.75,1.0,0.5,0.75,0.0,1.0,0.0,0.75,1.0,0.25,0.25,7
0.75,0.0,0.0,1.0,0.0,1.0,0.5,0.25,0.25,0.0,0.25,0.0,0.0,0.0,4
0.0,0.25,0.25,0.25,0.25,1.0,0.75,0.5,0.5,1.0,0.75,0.25,0.0,1.0,9
0.75,1.0,0.25,0.75,1.0,0.5,1.0,1.0,1.0,0.5,0.25,0.25,0.5,0.25,7
0.25,0.0,0.0,0.25,1.0,0.25,0.5,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1
0.0,0.75,1.0,0.5,1.0,0.25,0.0,0.0,0.0,0.5,1.0,0.75,0.75,0.25,3
1.0,1.0,0.25,0.75,0.25,0.25,0.5,0.0,1.0,0.5,1.0,0.75,0.25,0.5,7
0.0,1.0,0.5,0.0,0.75,0.0,0.0,1.0,1.0,0.75,0.5,0.25,1.0,0.0,8
0.0,1.0,0.0,0.25,1.0,0.25,0.25,0.75,0.0,0.25,1.0,0.0,0.25,0.25,6
1.0,0.5,1.0,0.75,1.0,0.5,0.25,0.0,0.5,0.0,0.25,0.75,0.5,0.25,3
0.75,0.0,0.5,0.75,0.25,0.25,0.25,0.5,0.25,1.0,0.25,0.75,1.0,0.0,2
1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.25,1.0,0.0,1.0,0.75,7
0.25,1.0,0.0,0.0,0.5,0.25,0.0,0.5,0.5,0.5,0.25,0.5,1.0,0.25,8
0.75,0.0,0.75,0.0,0.5,0.75,0.75,0.5,0.0,1.0,0.75,0.75,0.5,1.0,9
1.0,0.5,0.0,0.5,0.75,1.0,1.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,4
1.0,0.0,0.25,1.0,1.0,1.0,0.0,0.25,0.0,0.25,1.0,0.0,0.25,0.0,4
0.25,0.25,0.0,0.0,1.0,1.0,0.25,1.0,0.75,0.25,0.75,1.0,1.0,0.25,1
0.0,0.5,0.25,0.75,0.5,1.0,0.25,1.0,1.0,0.0,0.25,0.0,0.75,0.0,1
0.25,1.0,0.25,1.0,0.0,1.0,1.0,0.25,0.5,0.25,1.0,0.0,0.0,0.25,4
0.0,0.0,0.25,0.25,1.0,0.5,0.0,0.0,0.25,1.0,0.5,0.0,0.25,0.0,0
0.25,0.25,1.0,1.0,1.0,0.0,0.25,1.0,0.75,0.5,0.25,0.75,0.0,0.0,6
0.25,0.5,0.25,0.0,0.25,0.25,0.0,1.0,0.0,0.0,0.75,0.0,0.75,0.0,1
0.75,0.5,0.25,0.0,0.0,1.0,1.0,0.0,0.5,0.25,0.5,0.5,0.5,0.25,7
0.0,0.5,0.0,0.25,0.5,0.25,0.5,1.0,1.0,1.0,0.0,0.25,1.0,0.0,8
0.25,0.0,0.0,1.0,0.25,1.0,0.5,0.75,0.5,1.0,0.5,0.25,0.5,0.0,5
0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.25,1.0,1.0,1.0,0.0,0.0,3
0.0,0.75,0.0,0.0,0.5,0.25,0.0,1.0,0.75,0.75,0.25,0.5,1.0,0.25,8
1.0,1.0,1.0,0.25,0.5,0.5,0.25,1.0,0.5,0.75,0.0,0.75,0.5,0.25,2
1.0,0.75,0.25,0.0,0.25,0.0,1.0,0.25,0.0,0.25,0.75,0.0,0.0,0.5,4
0.5,1.0,0.75,0.5,1.0,0.75,0.0,0.25,0.25,0.0,1.0,0.75,0.0,0.25,7
0.75,1.0,0.0,0.75,0.5,0.0,0.0,0.75,0.5,0.5,0.0,0.0,0.5,0.0,3
0.5,0.25,0.0,0.5,0.0,0.75,0.0,0.0,0.0,1.0,0.75,0.75,0.0,0.0,0
1.0,0.5,0.25,0.0,0.25,0.5,0.0,0.0,0.5,0.25,0.5,0.25,0.5,0.75,9
0.0,0.0,0.0,0.5,0.25,0.5,0.0,1.0,0.25,0.0,0.5,0.0,1.0,0.0,1
0.25,0.0,0.0,0.5,0.0,0.75,0.0,0.25,0.25,1.0,1.0,1.0,1.0,0.0,0
0.0,0.75,0.0,0.5,0.0,0.5,0.25,1.0,0.5,0.75,0.25,0.0,0.75,0.0,8
0.75,0.0,0.5,0.0,0.25,0.25,0.75,0.25,0.0,1.0,1.0,0.0,0.0,0.25,4
0.0,0.0,0.75,1.0,0.75,1.0,0.0,0.0,1.0,0.75,0.75,0.75,0.5,0.0,7
0.0,0.25,0.5,0.25,0.75,1.0,0.0,0.0,0.25,0.75,0.75,0.75,0.25,0.0,0
0.0,0.5,0.25,0.5,1.0,0.25,0.5,0.0,0.0,0.75,0.0,0.75,0.5,0.0,3
0.0,1.0,0.75,0.0,1.0,0.5,0.0,1.0,0.75,0.75,0.25,0.75,0.75,0.25,8
0.25,0.75,0.25,0.0,1.0,0.5,0.25,1.0,0.25,0.75,0.5,0.5,1.0,0.0,8
0.0,0.25,0.0,0.25,0.25,0.75,0.75,1.0,0.25,0.0,0.75,0.25,1.0,0.25,5
0.0,1.0,1.0,0.75,1.0,0.5,0.25,0.0,1.0,0.5,0.0,0.25,0.75,0.25,3
0.0,0.25,0.5,0.0,0.5,1.0,0.0,1.0,0.5,1.0,0.25,0.25,0.0,0.0,0
